Sensor_ID,Tagnames
[5.97],L2_DCVR PH0 Stat
[5.98],L2_DCVR PH01 Stat
[5.99],L2_DCVR PH1 Stat
[5.100],L2_DCVAH_CUTS_TWC_DB.IN_VTailBefOptShr
[5.101],SpeedMeter Bar Presence
[5.102],SpeedMeter Measure Valid
[5.103],L2_DCVAH_CUTS_TWC_DB.IN_BarAtKnivesCrossl2
[5.104],L2_DCVR Tail Count
[5.105],L2_DCVRD_BAR_TRK_DB.IncomingTail
[5.106],L2_DCVRD_BAR_TRK_DB.TailCount
[5.107],L2_DCVAH_CUTS_TWC_DB.EnoughTailLeft
[5.108],L2_DCVAH_CUTS_TWC_DB.IN_VTail
[5.109],HMD 19Head Wind Enable L2
[5.110],HMD 19Tail Wind Enable L2
[5.111],HMD 29Head Wind Enable L2
[5.112],L2_DCVRD PH01 Stat
[5.113],L2_DCVRD PH1 Stat
[5.114],L2_DCVRD PH1 NoViewAlarm
[5.115],L2_DCVRD HeadCount
[5.116],L2_DCVRD TailCount
[5.117],L2_PR1 oil flow min
[5.118],HMD 30 Head Wind Enable L2
[5.119],HMD 30 Tail Wind Enable L2
[5.120],"L2_PR2 Rolls closing/opening, sol.valve"
[5.121],"L2_PR3 Rolls closing/opening, sol.valve"
[5.122],"L2_PR4 Rolls closing/opening, sol.valve"
[5.123],L2_DCVAH_CUTS_TWC_DB.IN_BarFromCVR
[5.124],OWS_ColdCutRecEnable L2
[5.125],OWS_TailSpreadEnable L2
[5.126],OWS_Chop_Enable L2
[5.127],L2_DCVRD PH0 Stat
[5.128],L2_DCVAH Run consent 1
[5.129],L2_DCVAH Run consent 2
[5.130],L2_DCVAH Run consent 3
[5.131],L2_DCVAH Preset Comand
[5.132],L2_DCVAH Drive fault
[5.133],L2_DCVR Bar present at knives cross point
[5.134],L2_DCVR BarOutofShear
[5.135],L2_DCVRD BarOutofShear
[5.136],HMD 31 Head Wind Enable L2
[5.137],HMD 31 Taild Wind Enable L2
[5.138],L2_DCVAH_ Run Permissive
[5.139],L2_DCVAH_ Brake is open
[5.140],L2_DCVAH_ Start Comand
[5.141],L2_DCVAH_ Start Confirme
[5.142],L2_CVAH_Start Permissive
[5.143],L2_DCVAH Pos known
[5.144],HMD_29 Tail filter CVR Entry
[5.145],HMD_29 head filter CVR Entry output
[5.146],HMD_29 tail filter CVR Entry output
[5.147],L2_CVR_WORK_DB.DriveIn.Status.SpeedNotZero
[5.148],L2_CVR_WORK_DB.DriveIn.Status.Started
[5.149],L2_CVR_WORK_DB.MissedStart
[5.150],L2_CVR_WORK_DB.StopMemo
[5.151],L2_CVR_WORK_DB.SpeedRefEnable
[5.152],L2_DCVRD Barat knives cross point
[5.153],L2_DCVR Chop any case
[5.154],Cobble detection in CVR shear L2 before FFB
[5.155],L2_PR1 Closing comand
[5.156],Cobble detection box before FFB L2
[5.157],E36PLC01 Mat.det. HMD38 TWC2A entry (HW Interrupt)
[5.158],E36PLC01 Mat.det. HMD39 TWC2B entry (HW Interrupt)
[5.159],HMD_29 head filter CVR Entry
[5.160],L2_DCVR_WORK_DB.RunConsent1
[5.161],L2_DCVR_WORK_DB.RunConsent2
[5.162],L2_DCVR_WORK_DB.RunConsent3
[5.163],L2_DCVR_WORK_DB.ON_Permissive
[5.164],L2_DCVR_WORK_DB.CYCLE_Permissive
[5.165],L2_DCVR_WORK_DB.AUTOCHOP_RequestOFF
[5.166],L2_DCVR_WORK_DB.CutEnable
[5.167],L2_DCVR_WORK_DB.CMD_NotAllowed_DrvNotRdy
[5.168],L2_CVR_WORK_DB.ShearMotionEnable
[5.169],L2_CVR_WORK_DB.CutEnable
[5.170],L2_CVR_POS_DB.OUT_PositionKnown
[5.171],L2_DCVR_WORK_DB.DriveIn.Status.ReadyToPreset
[5.172],L2_DCVR_WORK_DB.DriveIn.Status.PresetConfirm
[5.173],L2_DCVR_WORK_DB.DriveIn.Status.Started
[5.174],L2_DCVR_WORK_DB.DriveIn.Status.Started
[5.175],L2_DCVR_WORK_DB.MissedStart
[5.176],L2_WB12_WORK_DB.AutoChopShearReq
[5.177],L2_WB34_WORK_DB.AutoChopShearReq
[5.178],L2_PR4_WORK_DB.AutoChopShearReq
[5.179],L2_DCVRD_WORK_DB.UpstrUncondChopRequest
[5.180],CVR_Auto Chopping_CMD
[5.181],CVR_Chopping_REQ
[5.182],HMI_ALARMS_DB.PLC_BA_PLC_NET_FLT09
[5.183],Chopping request for TAIL OPT overshoot
[5.185],L2_DCVR_WORK_DB.ChoppingMemoryActive
[5.186],L2_DCVR_WORK_DB.ManChopReqMem
[5.187],L2_DCVR_WORK_DB.UpstrCondChopRequest
[5.188],L2_DCVR_WORK_DB.UpstrUncondChopRequest
[5.189],L2_DCVR_POS_DB.OUT_PositionKnown
[5.190],L2_PR2_WORK_DB.AutoChopShearReq
[5.191],L2_PR3_WORK_DB.AutoChopShearReq
[5.192],L2_WB1 Cover closed
[5.193],L2_WB2 Cover closed
[5.194],L2 DCVRD Chopping for long tail
[5.195],L2_PR2 Emergency from drive
[5.196],L2_PR2 Run consent 1
[5.197],L2_PR2 Run consent 2
[5.198],L2_PR2 Run consent 3
[5.199],L2_PR2 Gear box oil flow switch
[5.200],L2_DCVRD_WORK_DB.ChpReqOther_TAIL OPT overshoot
[5.201],L2_DCVRD_WORK_DB.ChpReqMemory
[5.202],L2_CVR_PH01_NoViewAlarmONS
[5.203],L2_CVR_PH01_NoViewAlarm
[5.204],L2_CVR_PH01_BLK
[5.205],L2_DCVR_WORK_DB.DriveCommFlt
[5.206],E36_STAND 18 GUIDE CHECK
[6:0],L2_PR2 machine distance from tracking zero point
[6:1],L2_PR3 machine distance from tracking zero point
[6:2],Speed From SpeedMeter L2 PID
[6:3],L2_DCVRD_First Head Position Line 2
[6:4],L2_DCVAH __OPT_TAIL LENGTH
[6:5],L2_DCVAH First Head Pos
[6:6],L2_DCVAH New Head Pos
[6:7],L2_DCVAH Tail PosL2
[6:8],L2_DCVAH Remain Length before CVAH L2
[6:9],L2_DCVR First head position
[6:10],L2_DCVR Remain length before DCVR
[6:11],L2_DCVR Req length to chop before DCVR for opt
[6:12],L2_DCVR Tail Cut off Length
[6:13],OPT L2 DCVAH Choosen Div length
[6:14],OPT L2 INT Remaining length before Div shear
[6:15],SH1 Average Dist to HMD last stand L2
[6:16],PH0A Last Tail Distance Measured L2
[6:17],PH0A Last Head Distance Measured L2
[6:18],PH0A Head Dist L2
[6:19],PH0A Tail Dist L2
[6:20],PH0B Head Dist L2
[6:21],PH0B Tail Dist L2
[6:22],PH0A Head Dist Count L2
[6:23],PH0A Tail Dist Count L2
[6:24],PH0B Head Dist Count L2
[6:25],PH0B Tail Dist Count L2
[6:26],OPT_Avg_PH0A_AveragDist from HMD to HMD after Last Stand
[6:27],OPT_Avg_PH0B_AveragDist from HMD to HMD after Last Stand
[6:28],OPT_Avg_PH0C_AveragDist from HMD to HMD after Last Stand
[6:29],Remaining length before Div shear + tolerance
[6:30],OPT Full Size Bars L2
[6:31],OPT Last Bar Length L2
[6:32],OPT Tail Length L2
[6:33],OPT Langth to be chopped L2
[6:34],OPT Full size bar for optimise L2
[6:35],OPT #ShrChopReqLength L2
[6:36],6:36
[6:37],6:37
[6:38],6:38
[6:39],6:39
[6:40],6:40
[6:41],6:41
[6:42],6:42
[6:43],6:43
[6:44],6:44
[6:45],6:45
[6:46],6:46
[6:47],6:47
[6:48],6:48
[6:49],6:49
[6:50],6:50
[6:51],6:51
[6:52],6:52
[6:53],6:53
[6:54],6:54
[6:55],6:55
[6:56],6:56
[6:57],6:57
[6:58],6:58
[6:59],6:59
[7:0],OPT #CVR Tail Cut off length equ L2
[7:1],OWS_SalesLength L2
[7:2],OWS_SalesNum L2
[7:3],OWS_DivLenCorr L2
[7:4],OWS_FirstDivCutCorr L2
[7:5],OWS_OptBarMinSaleNr L2
[7:6],OWS_LastBarMinSaleNr L2
[7:7],OWS_MaxChoppingLength L2
[7:8],OWS_MinTailRecover L2
[7:9],OWS_NominalDivCutLength L2
[7:10],OWS_LastBarMinLength L2
[7:11],OWS_SampleLength L2
[7:12],L2_DCVAH_BAR_TRK_DB.OUT.TailPosition
[7:13],L2_DCVRD Tracking BLST_Count
[7:14],L2_DCVRD Tracking BLST_ForceValue
[7:15],L2_DCVAH_CUTS_TWC_DB.IN_TailPosition
[7:16],PH0D Head Dist L2
[7:17],PH0D Tail Dist L2
[7:18],PH0D_Avg_Dist from HMD to HMD after Last Stand L2
[7:19],PH0E Head Dist L2
[7:20],PH0E Tail Dist L2
[7:21],PH0E_Avg_Dist from HMD to HMD after Last Stand L2
[7:22],PH0F Head Dist L2
[7:23],PH0F Tail Dist L2
[7:24],PH0F_Avg_Dist from HMD to HMD after Last Stand L2
[7:25],PH0G Head Dist L2
[7:26],PH0G Tail Dist L2
[7:27],PH0G_Avg_Dist from HMD to HMD after Last Stand L2
[7:28],PH0H Head Dist L2
[7:29],PH0H Tail Dist L2
[7:30],PH0H_Avg_Dist from HMD to HMD after Last Stand L2
[7:31],PH0L Head Dist L2
[7:32],PH0L Tail Dist L2
[7:33],PH0L_Avg_Dist from HMD to HMD after Last Stand L2
[7:34],PH0M Head Dist L2
[7:35],PH0M Tail Dist L2
[7:36],PH0M_Avg_Dist from HMD to HMD after Last Stand L2
[7:37],PH0N Head Dist L2
[7:38],PH0N Tail Dist L2
[7:39],PH0N_Avg_Dist from HMD to HMD after Last Stand L2
[7:40],PH0P Head Dist L2
[7:41],PH0P Tail Dist L2
[7:42],PH0P_Avg_Dist from HMD to HMD after Last Stand L2
[7:43],L2_DCVR Out.Tail Position
[7:44],L2_DCVRD  Out.Tail Position
[7:45],PID_DCVRD_POS_ENC
[7:46],PID_DCVR_POS_ENC
[7:47],SPARE
[7:48],spare
[7:49],spare
[7:50],spare
[7:51],spare
[7:52],spare
[7:53],spare
[7:54],7:54
[7:55],7:55
[7:56],7:56
[7:57],7:57
[7:58],7:58
[7:59],7:59
[8:0],8:0
[8:1],8:1
[8:2],8:2
[8:3],8:3
[8:4],8:4
[8:5],8:5
[8:6],8:6
[8:7],8:7
[8:8],8:8
[8:9],8:9
[8:10],8:10
[8:11],8:11
[8:12],8:12
[8:13],8:13
[8:14],8:14
[8:18],WB12_ANALOG_IN_DB.outPressureFilt
[8:19],OPT Length to recover
[8:20],Cut Table 0 L2
[8:21],Cut Table 1 L2
[8:22],Cut Table 2 L2
[8:23],Cut Table 3 L2
[8:24],Cut Table 4 L2
[8:25],Cut Table 5 L2
[8:26],Cut Table 6 L2
[8:27],Cut Table 7 L2
[8:28],Cut Table 8 L2
[8:29],Cut Table 9 L2
[8:30],Cut Table 10 L2
[8:31],Cut Table 11 L2
[8:32],Cut Table 12 L2
[8:33],Cut Table 13 L2
[8:34],Cut Table 14 L2
[8:35],Cut Table 15 L2
[8:36],Cut Table 16 L2
[8:37],Cut Table 17 L2
[9:0],Stand 01_Torque
[9:1],Stand 02_Torque
[9:2],Stand 03_Torque
[9:3],Stand 04_Torque
[9:4],Stand 05_Torque
[9:5],Stand 06_Torque
[9:6],Stand 07_Torque
[9:7],Stand 08_Torque
[9:8],Stand 09_Torque
[9:9],Stand 10_Torque
[9:10],Stand 11_Torque
[9:11],Stand 12_Torque
[9:12],Stand 13_Torque
[9:13],Stand 14_Torque
[9:14],Stand 15_Torque
[9:15],Stand 16_Torque
[9:16],Stand 17_Torque
[9:17],Stand 18_Torque
[9:18],Vrt_Dev01_HeadPos
[9:19],Vrt_Dev01_TailPos
[9:20],Vrt_Dev02_HeadPos
[9:21],Vrt_Dev02_TailPos
[9:22],Stand 01_LineSpeed
[9:23],Stand 01_RPM
[9:24],Stand 02_LineSpeed
[9:25],Stand 02_RPM
[9:26],Stand 03_LineSpeed
[9:27],Stand 03_RPM
[9:28],Stand 04_LineSpeed
[9:29],Stand 04_RPM
[9:30],Stand 05_LineSpeed
[9:31],Stand 05_RPM
[9:32],Stand 06_LineSpeed
[9:33],Stand 06_RPM
[9:34],Stand 07_LineSpeed
[9:35],Stand 07_RPM
[9:36],Stand 08_LineSpeed
[9:37],Stand 08_RPM
[9:38],Stand 09_LineSpeed
[9:39],Stand 09_RPM
[9:40],BC Billet last interbillet on stand 01
[9:41],Stand 10_LineSpeed
[9:42],Stand 10_RPM
[9:43],Stand 11_LineSpeed
[9:44],Stand 11_RPM
[9:45],Stand 12_LineSpeed
[9:46],Stand 12_RPM
[9:47],Stand 13_LineSpeed
[9:48],Stand 13_RPM
[9:49],Stand 14_LineSpeed
[9:50],Stand 14_RPM
[9:51],Stand 15_LineSpeed
[9:52],Stand 15_RPM
[9:53],Stand 16_LineSpeed
[9:54],Stand 16_RPM
[9:55],Stand 17_LineSpeed
[9:56],Stand 17_RPM
[9:57],Stand 18_LineSpeed
[9:58],Stand 18_RPM
[9:59],Stand 01_HeadPosition from Upstreamdevice
[9:60],BC set Interbillet value from HMI
[9:61],Loop_Height Stand 9-10
[9:62],Loop_Height Stand 10-11
[9:63],Loop_Height Stand 11-12
[9:64],Loop_Height Stand 12-13
[9:65],Loop_Height Stand 13-14
[9:66],Loop_Height Stand 14-15
[9:67],Loop_HeightStand 15-16
[9:68],Loop_Height Stand 16-17
[9:69],Loop_Height Stand 17-18
[9:70],Mill Discharge time
[9:71],BC Billet discharge delay after billet discharge command
[9:72],BC Interbillet correction value
[9:73],RT_2_FEA_ACT_SPEED
[9:74],RT_1_FEA_SET_SPEED
[9:75],RT_2_FEA_SET_SPEED
[9:76],FFB Line 1 Loop Height
[9:77],FFB Line 2 Loop Height
[9:78],FFB Line 1 Speed Reference (Internal Unit)
[9:79],FFB Line 2 Speed Reference (Internal Unit)
[9:80],BILLCALL-WRK_DB.DischargeDelay
[9:81],BILLCALL-WRK_DB.DischDelayCnt
[9:83],9:83
[9.0],Stand 09 downstream HMD material detection signal (=JD31A09FAV-B001)
[9.1],Stand 10 downstream HMD material detection signal (=JD31A10FAV-B001)
[9.2],Stand 11 downstream HMD material detection signal (=JD31A11FAV-B001)
[9.3],Stand 12 downstream HMD material detection signal (=JD31B01CVS-B011)
[9.4],Stand 13 upstream HMD material detection signal (=JD31A12FAV-B001)
[9.5],Stand 13 downstream HMD material detection signal (=JD41A13FAV-B001)
[9.6],Stand 14 downstream HMD material detection signal (=JD41A14FAV-B001)
[9.7],Stand 15 downstream HMD material detection signal (=JD41A15FAV-B001)
[9.8],Furnace exit HMD material detection signal (=JD11B01VUF-B002)
[9.9],Stand 01 upstream HMD material detection signal (=JD11B01TRU-B001)
[9.10],HMD on Fce exit R.Table material detection signal (=JD21A01DOM-B011)
[9.11],Stand 02 downstream HMD material detection signal (=JD21A02DVM-B011)
[9.12],Stand 04 downstream HMD material detection signal (=JD21A04DVM-B011)
[9.13],Stand 06 downstream HMD material detection signal (=JD21A06DVM-B011)
[9.14],Stand 07 upstream HMD material detection signal (=JD21B01CVS-B011)
[9.15],Stand 08 downstream HMD material detection signal (=JD31A08DVM-B011)
[9.16],Stand 12 downstream looper lifting command
[9.17],Stand 13 downstream looper lifting command
[9.18],Stand 14 downstream looper lifting command
[9.19],Stand 15 downstream looper lifting command
[9.20],Stand 16 downstream looper lifting command
[9.21],Stand 17 downstream looper lifting command
[9.22],WR FFB looper lifting command
[9.23],Stand 01_Material_Presence
[9.24],Stand 16 downstream HMD material detection signal (=JD41A16FAV-B001)
[9.25],Stand 17 downstream HMD material detection signal (=JD41A17FAV-B001)
[9.26],Stand 18 downstream HMD material detection signal (=JD41A18FAV-B011)
[9.27],Billet call command
[9.28],Snap shear at mill entry close [NC]
[9.29],Stand 9 downstream looper lifting command
[9.30],Stand 10 downstream looper lifting command
[9.31],Stand 11 downstream looper lifting command
[9.32],Stand 10_Material_Presence
[9.33],Stand 11_Material_Presence
[9.34],Stand 12_Material_Presence
[9.35],Stand 13_Material_Presence
[9.36],Stand 14_Material_Presence
[9.37],Stand 15_Material_Presence
[9.38],Stand 16_Material_Presence
[9.39],Stand 17_Material_Presence
[9.40],Stand 02_Material_Presence
[9.41],Stand 03_Material_Presence
[9.42],Stand 04_Material_Presence
[9.43],Stand 05_Material_Presence
[9.44],Stand 06_Material_Presence
[9.45],Stand 07_Material_Presence
[9.46],Stand 08_Material_Presence
[9.47],Stand 09_Material_Presence
[9.48],HMD 24 TMB #3 upstream HMD
[9.49],Billet call distance reached
[9.50],HMD22 HeadCountUpdate
[9.51],HMD22 TailCountUpdate
[9.52],Billet call Pushbutton
[9.53],Furnace disch AUTO
[9.54],Billet call enable
[9.55],Call time elapsed
[9.56],Stand 18_Material_Presence
[9.57],VIRTDEV01_Material_Presence
[9.58],VIRTDEV02_Material_Presence
[9.59],Billet discharge command
[9.60],HMD 20 WRod Prebox1 upstream HMD
[9.61],HMD 21 WRod SH7 upstream HMD
[9.62],HMD 22 WRod SH7 downstream HMD
[9.63],HMD 23 FFB #3 exit  HMD
[9.64],Looper FFB L1 In Ctrl Stop
[9.65],Looper FFB L1Ctrl Start
[9.66],Looper FFB L1 Dwn Mat Presence
[9.67],Looper FFB L1 Ctrl Enabling
[9.68],Stand 18 Mat Presence
[9.69],BC Interbillet correction enable
[9.70],Looper FFB L2 HMD 27 Status
[9.71],Looper FFB L2 In Ctrl Stop
[9.72],Billet in last position
[9.73],BILLET CALL CMD to FURNACE
[9.74],Permissive for Auto Discharging
[9.75],BC Billet discharge command one shot
[9.76],FFB Line 1 Looper Cmd
[9.77],FFB Line 2 Looper Cmd
[9.78],BC Billet discharge command cond. memory
[9.79],Looper FFB L1 HMD 27 Status
[9.80],"FFB 2 Lopper FFB 1Lopper ""SECT6_STOP"""
[9.81],BILLCALL-WRK_DB.RouFirstMatPres
[9.82],S01TRK_DB.MaterialPresence
[9.83],Stand 01 TRK_DB.LoadOn
[9.84],AUX_PERFOR_MILL_DB.Line1BilletInOns
[9.85],COM_DB_LEV2-TRK.FirstMatPres
[9.86],AUTO_CRP
[9.87],S07CMD_DB.ContinuityAlm
[9.88],Looper FFB L2Ctrl Start
[9.89],Looper FFB L2 Dwn Mat Presence
[9.90],Looper FFB L2 Ctrl Enabling
[9.91],BC Billet discharge distance reached one shot
[9.92],"FFB 1Lopper ""SECT3_STOP"""
[9.93],"FFB 1Lopper ""SECT5_STOP"""
[9.94],"FFB 1Lopper ""SH4_Line1_CRP_ON"""
[9.95],"FFB 2Lopper ""SH4_Line2_CRP_ON"""
[9.96],Stand 16 CMD_DB.ContinuityAlm
[9.97],Stand 17 CMD_DB.ContinuityAlm
[9.98],Stand 18 CMD_DB.ContinuityAlm
[9.99],E40_COMM_DB.MPIDataToCpu1.Sh2AutoCropCmd
[9.100],FFB1CMD_DB.ContinuityAlm
[9.101],MAT_PRESENCE
[9.102],E35_COMM_DB.MPIDataToCpu1.Line1CVRAutoCropCmd
[9.103],E40_COMM_DB.MPIDataToCpu1.Sh1AutoCropCmd
[9.104],Stand 08 CMD_DB.ContinuityAlm
[9.105],S09CMD_DB.ContinuityAlm
[9.106],S10CMD_DB.ContinuityAlm
[9.107],S11CMD_DB.ContinuityAlm
[9.108],S12CMD_DB.ContinuityAlm
[9.109],S13CMD_DB.ContinuityAlm
[9.110],S14CMD_DB.ContinuityAlm
[9.111],S15CMD_DB.ContinuityAlm
[9.112],Stand 08 Tens Ctrl On
[9.113],Stand 09 Tens Ctrl On
[9.114],E10_HMD_26 material presence
[9.115],E10_HMD_26 material presence_test
[9.116],E10_HMD_29 material presence
[9.117],E10_HMD_29 material presence_test
[9.118],HMD26TRK_DB.ContinuityAlarm
[9.119],HMD27TRK_DB.ContinuityAlarm
[9.120],FFB3CMD_DB.ContinuityAlm
[9.121],Stand 01 Tens Ctrl On
[9.122],Stand 02 Tens Ctrl On
[9.123],Stand 03 Tens Ctrl On
[9.124],Stand 04 Tens Ctrl On
[9.125],Stand 05 Tens Ctrl On
[9.126],Stand 06 Tens Ctrl On
[9.127],Stand 07 Tens Ctrl On
[9.128],HMD16TRK_DB.ContinuityAlarm
[9.129],HMD17TRK_DB.ContinuityAlarm
[9.130],HMD18TRK_DB.ContinuityAlarm
[9.131],HMD19TRK_DB.ContinuityAlarm
[9.132],S18TRK_DB.ContinuityAlarm
[9.133],S17TRK_DB.ContinuityAlarm
[9.134],S16TRK_DB.ContinuityAlarm
[9.135],S15TRK_DB.ContinuityAlarm
[9.136],HMD28TRK_DB.ContinuityAlarm
[9.137],HMD29TRK_DB.ContinuityAlarm
[9.138],HMD30TRK_DB.ContinuityAlarm
[9.139],HMD31TRK_DB.ContinuityAlarm
[9.140],HMD12TRK_DB.ContinuityAlarm
[9.141],HMD13TRK_DB.ContinuityAlarm
[9.142],HMD14TRK_DB.ContinuityAlarm
[9.143],HMD15TRK_DB.ContinuityAlarm
[9.144],control enabling Stand 15
[9.145],looper on Stand 15
[9.146],control stop Stand 15
[9.147],down stream hmd Stand 15
[9.148],BC Billet call distance reached one shot
[9.149],HMD filter looper Stand 16
[9.150],looper control start Stand 16
[9.151],looper off Stand 16
[9.152],S14TRK_DB.ContinuityAlarm
[9.153],S13TRK_DB.ContinuityAlarm
[9.154],S12TRK_DB.ContinuityAlarm
[9.155],FFB2CMD_DB.ContinuityAlm
[9.156],E36_COMM_DB.MPIDataToCpu1.Line2CVRAutoCropCmd
[9.157],HMD filter looper Stand 15
[9.158],looper control start Stand 15
[9.159],looper off Stand 15
[9.160],looper on Stand 17
[9.161],control stop Stand 17
[9.162],down stream hmd Stand 17
[9.163],BILLCALL-WRK_DB.HMD01TailMemo
[9.164],VIRT-DEV01_TRK_DB.MaterialPresence
[9.165],Billet call enableFlag_extended
[9.166],Last bellet call Ok_Extended
[9.167],HMD01TRK_DB.HMDFiltered
[9.168],control enabling Stand 16
[9.169],looper on Stand 16
[9.170],control stop Stand 16
[9.171],down stream hmd Stand 16
[9.172],HMD filter looper Stand 17
[9.173],looper control start Stand 17
[9.174],looper off Stand 17
[9.175],control enabling Stand 17
[9.176],DRM02 MCB CLOSE
[9.177],DRM03 MCB CLOSE
[9.178],DRM04 MCB CLOSE
[9.179],DRM05 MCB CLOSE
[9.180],DRM06 MCB CLOSE
[9.181],DRM07 MCB CLOSE
[9.182],DRM08 MCB CLOSE
[9.183],DRM09 MCB CLOSE
[9.184],HMD01TRK_DB.IN_HMD
[9.185],Billet_Too_Close
[9.186],Max speed alarm
[9.187],BC Billet Discharge Enable
[9.188],BC Billet discharge delay elasped
[9.189],BC First Billet Call Memory
[9.190],Only billet Call trigger enable
[9.191],DRM01 MCB CLOSE
[9.192],FURNACE EXIT LASER DETECTION
[9.193],Auto chopping hmi status
[9.194],Tension control hmi status
[9.195],RRU8 drive ready
[9.196],DRA RRU on confirm
[9.197],Stand 01 fast stop
[9.198],Stand 02 fast stop
[9.199],Stand 03 fast stop
[9.200],Stand 04 fast stop
[9.201],Stand 05 fast stop
[9.202],Stand 06 fast stop
[9.203],RT1 FEA RUN
[9.204],RT2 FEA RUN
[9.205],RT2 EMG SLOW
[9.206],FFB1 Material Presence
[9.207],FFB2 Material Presence
[9.208],stand 01 comm fault (#21)
[9.209],stand 02 comm fault (#21)
[9.210],stand 03 comm fault (#21)
[9.211],stand 04 comm fault (#21)
[9.212],stand 05 comm fault (#21)
[9.213],stand 06 comm fault (#21)
[9.214],stand 07 comm fault (#21)
[9.215],stand 08 comm fault (#21)
[9.216],stand 09 comm fault (#21)
[9.217],stand 10 comm fault (#21)
[9.218],stand 11 comm fault (#21)
[9.219],stand 12 comm fault (#21)
[9.220],stand 13 comm fault (#21)
[9.221],stand 14 comm fault (#21)
[9.222],stand 15 comm fault (#21)
[9.223],stand 16 comm fault (#21)
[9.224],stand 17 comm fault (#21)
[9.225],stand 18 comm fault (#21)
[9.226],Ghost Rolling
[9.227],stand 18 drive comm alarm
[9.228],RT2 fast stop
[9.229],RT2 Run consent 1
[9.230],RT2 Run consent 2
[9.231],RT2 Run consent 3
[9.232],RT2 drive communication fault
[9.233],RT2 first stand biting overspeed enabling
[9.234],E10 raedy to roll_F_EXIT
[9.235],E10 raedy to roll_ROUGHING
[9.236],E10 raedy to roll_INT MILL
[9.237],E10 raedy to roll_FIN  MILL
[9.238],E10 raedy to roll_FFB L1
[9.239],E10 raedy to roll_FFB L2
[9.240],S12TRK_DB.LoadOn
[9.241],S13TRK_DB.LoadOn
[9.242],S14TRK_DB.LoadOn
[9.243],S15TRK_DB.LoadOn
[9.244],S16TRK_DB.LoadOn
[9.245],S17TRK_DB.LoadOn
[9.246],S18TRK_DB.LoadOn
[9.247],Roughing Auto stop HMI bit status
[9.248],Furnace Auto Discharge HMI bit status
[9.249],Cascade --
[9.250],Cascade -
[9.251],Cascade +
[9.252],Cascade ++
[10:0],BILLCALL-WRK_DB.SetInterbillet
[10:1],BILLCALL-WRK_DB.RouInterbilletCnt
[10:2],BILLCALL-WRK_DB.CallTimeCnt
[10:3],BILLCALL-WRK_DB.BilletCallTime
[10:4],BILLCALL-WRK_DB.RouRollTimeCnt
[10:5],CurrentBilletRollingTimeInStand1
[10:6],LastBilletRollingTimeInStand1
[10:7],Fce_Delay
[10:8],FFB Line 1 Loop Height
[10:9],FFB Line 2 Loop Height
[10:10],BC call tail position 1
[10:11],BC call tail position 2
[10:12],BC Effective call tail position
[10:13],Stand 01 HeadTailDifference
[10:14],Stand 01 HeadPosFromRMStart
[10:15],Stand 01 TailPosFromRMStart
[10:16],FFB1 Head POS for looper
[10:17],FFB1 Looper On dist
[10:18],FFB2 Head POS for looper
[10:19],FFB2 Looper On dist
[10:20],LEV2-BILL-DATA.FirstStandNoLoadTime
[10:21],RHF communication timer
[10:22],BilletDelay
[10:23],S1HeadAbsolutePosition
[10:24],S1TailAbsolutePosition
[10:25],Virt2HeadAbsolutePosition
[10:26],Virt2TailAbsolutePosition
[10:27],Total Distance Run by bar head (MD 266)
[10:28],Total Distance Run by bar tail (MD 270)
[10:29],RT2 REF SPEED
[10:30],RT1_1 REF SPEED
[10:31],Billets out counter
[10:32],Stand 17 speed ref
[10:33],Stand 18 speed ref
[10:34],Line-1 FFB speed ref
[10:35],Line-2 FFB speed ref
[10:44],Stand 16 speed ref
[10:45],Stand 1 speed ref
[10:46],Stand 2 speed ref
[10:47],Stand 3 speed ref
[10:48],Stand 4 speed ref
[10:49],Stand 5 speed ref
[10:50],Stand 6 speed ref
[10:51],Stand 7 speed ref
[10:52],Stand 8 speed ref
[10:53],Stand 9 speed ref
[10:54],Stand 10 speed ref
[10:55],Stand 11 speed ref
[10:56],Stand 12 speed ref
[10:57],Stand 13 speed ref
[10:58],Stand 14 speed ref
[10:59],Stand 15 speed ref
[12:0],Stand 01_TailPosition from Upstreamdevice
[12:1],Stand 02_HeadPosition from Upstreamdevice
[12:2],Stand 02_TailPosition from Upstreamdevice
[12:3],Stand 03_HeadPosition from Upstreamdevice
[12:4],Stand 03_TailPosition from Upstreamdevice
[12:5],WR_FFB LoopHeight Actual
[12:6],WR_FFB LoopHeight Set
[12:7],WR_FFB Linear speed cm/s
[12:8],WR_FFB RPM
[12:9],WR_FFB Torque
[12:10],WR_FFB Current
[12:11],WR_TMB1 Linear speed cm/s
[12:12],WR_TMB1 RPM
[12:13],WR_TMB1 Torque
[12:14],WR_TMB2 Linear speed cm/s
[12:15],WR_TMB2 RPM
[12:16],WR_TMB2 Torque
[12:17],HMD22 Head Position from upstream Stand
[12:18],HMD22 Tail Position from upstream Stand
[12:19],FFB Line 1 Torque Act
[12:20],FFB Line 1 RPM Act
[12:21],FFB Line 1 Line Speed
[12:22],FFB Line 2 Torque Act
[12:23],FFB Line 2 RPM Act
[12:24],FFB Line 2 Line Speed
[12:25],ACT-DATA1_DB.BilletInCnt
[12:26],LEV2TRK_DB1.TopEventCounter
[12:27],Billet weight from Furnace PLC
[12:28],DRM01 DC VOLTAGE
